bibkey,phenomenon_taxonomy_root,phenomenon_taxonomy_leaf,phenomenon_taxonomy_alternate,validate_taxonomy,new_taxonomy_root,new_taxonomy_leaf
guhaLegalBenchCollaborativelyBuilt2023,Law,,,Law - ,Specific Application,Law
chenToMBenchBenchmarkingTheory2024,Theory of Mind,,,Theory of Mind - ,General Capability,Theory of Mind
wuDetectRLBenchmarkingLLMgenerated2024,NLP,Detection,,NLP - Detection,General Application,LLM Detection
patelMultiLogiEvalEvaluatingMultistep2024,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
luWebLINXRealworldWebsite2024,Agents,Web,,Agents - Web,General Application,Web Agents
zhangMuCGECMultireferenceMultisource2022,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
spragueMuSRTestingLimits2024,Reasoning,Commonsense,,Reasoning - Commonsense,General Capability,Commonsense Reasoning
luWildVisionEvaluatingVisionlanguage2024,,,,,Missing,Missing
caoWenMindComprehensiveBenchmark2024,Knowledge,Cultural,,Knowledge - Cultural,General Application,Cultural Knowledge
ouyangCliMedBenchLargeScaleChinese2024,Medicine,,,Medicine - ,Specific Application,Medicine
huangRAVELEvaluatingInterpretability2024,,,,,Missing,Missing
sabourEmoBenchEvaluatingEmotional2024,Psychology,,,Psychology - ,Specific Application,Social Sciences
garcia-ferreroThisNotDataset2023,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
josephFactPICOFactualityEvaluation2024,NLP,Summarization,,NLP - Summarization,General Application,Summarization
sungCanLanguageModels2021,,,,,Missing,Missing
liuRevisitingDeIdentificationElectronic2023,Medicine,,,Medicine - ,Specific Application,Medicine
liuConvBenchMultiturnConversation2024,User Interaction,,,User Interaction - ,General Capability,User Interaction
dinhSciExBenchmarkingLarge2024,General Science,,,General Science - ,Specific Application,Physical Sciences
zhangTaskMeAnything2024,,,,,Missing,Missing
zhangUnveilingTapestryConsistency2024,Language Modelling,Robustness,,Language Modelling - Robustness,General Capability,Reliability
fierroMuLanStudyFact2024,Reasoning,Temporal,,Reasoning - Temporal,General Capability,Temporal Reasoning
bitton-guettaVisualRiddlesCommonsense2024,VQA,,,Image Processing - ,General Capability,Commonsense Reasoning
liQuantifyingAdaptabilityPretrained2022,Language Modelling,In-context Learning,,Language Modelling - In-context Learning,General Capability,In-context Learning
duEmbSpatialbenchBenchmarkingSpatial2024,VQA,,,Image Processing - ,General Capability,Grounding
chungCanVisualLanguage2024,Grounding,,,Image Processing - ,General Capability,Grounding
kumarVisionlanguageModelsUnderstand2024,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
flachsGrammaticalErrorCorrection2020,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
joshiILTURBenchmarkIndian2024,Law,,,Law - ,Specific Application,Law
royBenchCLAMPBenchmarkEvaluating2023,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
ryanRevisitingNonEnglishText2023,NLP,Summarization,,NLP - Summarization,General Application,Summarization
siREADINChineseMultitask2023,Language Modelling,Robustness,,Language Modelling - Robustness,General Capability,Reliability
schwettmannFINDFunctionDescription2023,Reasoning,,,Reasoning - ,General Capability,Logical Reasoning
zuoPatentEvalUnderstandingErrors2024,Law,,,Law - ,Specific Application,Law
yinNaturalLanguageCode2023,Code Generation,,,Code Generation - ,General Application,Data Analysis
asaiBUFFETBenchmarkingLarge2024,Language Modelling,In-context Learning,Multilinguality,Language Modelling - In-context Learning,General Capability,In-context Learning
hareshClevrSkillsCompositionalLanguage2024,Reasoning,Compositional,,Reasoning - Compositional,General Capability,Compositional Reasoning
hanMedSafetyBenchEvaluatingImproving2024,Medicine,,,Medicine - ,Specific Application,Medicine
shivagundeLargerProbesTell2023,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
wuSmartPlayBenchmarkLLMs2024,Agents,,,Agents - ,General Capability,Core Agentic Capabilities
liWMDPBenchmarkMeasuring2024,Alignment,Safety,,Alignment - Safety,General Capability,Safety
renValueBenchComprehensivelyEvaluating2024,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
wangDecodingTrustComprehensiveAssessment2023,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
chakrabortyCounterTuringTest2023,NLP,Detection,,NLP - Detection,General Application,LLM Detection
tuWaterBenchHolisticEvaluation2024,NLP,Detection,,NLP - Detection,General Application,LLM Detection
liDataCompLMSearchNext2024,,,,,Missing,Missing
luoMMMRSMultimodalMultiGSD2024,Grounding,,,Image Processing - ,General Capability,Grounding
devriesDUMBBenchmarkSmart2023,NLP,Understanding,Multilinguality,NLP - Understanding,General Capability,Natural Language Understanding
toyerTensorTrustInterpretable2024,Alignment,Safety,,Alignment - Safety,General Capability,Safety
mackoMULTITuDELargescaleMultilingual2023,NLP,Detection,,NLP - Detection,General Application,LLM Detection
ahujaMEGAVERSEBenchmarkingLarge2024,NLP,,Multilinguality,NLP - ,General Capability,Multilinguality
sukthankerHWGPTbenchHardwareawareArchitecture2024,,,,,Missing,Missing
shiriEmpiricalAnalysisSpatial2024,Reasoning,Spatial,,Reasoning - Spatial,General Capability,Spatial Reasoning
yingMMTbenchComprehensiveMultimodal2024,Reasoning,Multimodal,,Reasoning - Multimodal,General Capability,Multimodal Reasoning
chenM3CoTNovelBenchmark2024,Reasoning,Multimodal,,Reasoning - Multimodal,General Capability,Multimodal Reasoning
yinLAMMLanguageassistedMultimodal2023,,,,,Missing,Missing
ohERBenchEntityRelationshipBased2024,Factuality,,,,General Capability,Factuality
liuMMDUMultiturnMultiimage2024,User Interaction,,,User Interaction - ,General Capability,User Interaction
zhangM3ExamMultilingualMultimodal2023,Language Modelling,,Multilinguality,Language Modelling - ,General Capability,Multilinguality
khandekarMedCalcBenchEvaluatingLarge2024,Medicine,,,Medicine - ,Specific Application,Medicine
liCanLanguageModels2023,Grounding,,,Grounding - ,General Capability,Grounding
chenGMAImmbenchComprehensiveMultimodal2024,,,,,Missing,Missing
liMediQQuestionAskingLLMs2024,Medicine,,,Medicine - ,Specific Application,Medicine
wuMedJourneyBenchmarkEvaluation2024,Medicine,,,Medicine - ,Specific Application,Medicine
fenogenovaMERAComprehensiveLLM2024,NLP,,Multilinguality,NLP - ,General Capability,Multilinguality
zambranochavesRaLEsBenchmarkRadiology2023,Medicine,,,Medicine - ,Specific Application,Medicine
sivasubramaniamSM3TexttoQuerySyntheticMultiModel2024,Medicine,,,Medicine - ,Specific Application,Medicine
liuBenchmarkingLargeLanguage2023,Medicine,,,Medicine - ,Specific Application,Medicine
xiaCARESComprehensiveBenchmark2024,Medicine,,,Medicine - ,Specific Application,Medicine
wangCMBComprehensiveMedical2024,Medicine,,,Medicine - ,Specific Application,Medicine
kweonEHRNoteQALLMBenchmark2024,Medicine,,,Medicine - ,Specific Application,Medicine
trivediAppWorldControllableWorld2024,Agents,Coding,,Agents - Coding,General Application,Coding Agents
liuLargeLanguageModels2024,Medicine,,,Medicine - ,Specific Application,Medicine
sunMeasuringEffectInfluential2023,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
liLexEvalComprehensiveChinese2024,Law,,,Law - ,Specific Application,Law
kohVisualWebArenaEvaluatingMultimodal2024,Agents,Web,,Agents - Web,General Application,Web Agents
khanXCodeEvalExecutionbasedLarge2024,Code Generation,,,Code Generation - ,General Application,Code Generation
yoranAssistantBenchCanWeb2024,Agents,Web,,Agents - Web,General Application,Web Agents
guoRedCodeRiskyCode2024,Agents,Coding,,Agents - Coding,General Application,Coding Agents
liEvaluatingInstructionfollowingRobustness2024,Instruction Following,,,Instruction Following - ,General Capability,Instruction Following
caoSpider2vHowFar2024,Agents,Coding,,Agents - Coding,General Application,Coding Agents
liskaStreamingQABenchmarkAdaptation2022,,,,,Missing,Missing
akyurekDUnEDatasetUnified2023,,,,,Missing,Missing
chengCanWeEdit2023,,,,,Missing,Missing
sheScoNeBenchmarkingNegation2023,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
zhongMQuAKEAssessingKnowledge2023,,,,,Missing,Missing
wuAKEWAssessingKnowledge2024,,,,,Missing,Missing
wangMULFEMultilevelBenchmark2024,,,,,Missing,Missing
huangVLKEBLargeVisionlanguage2024,,,,,Missing,Missing
liuWe`reAfraidLanguage2023,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
zhouWebArenaRealisticWeb2024,Agents,Web,,Agents - Web,General Application,Web Agents
yinALCUNALargeLanguage2023,Language Modelling,Updating,,Language Modelling - Updating,General Application,Updating
drouinWorkArenaHowCapable2024,Agents,Web,,Agents - Web,General Application,Web Agents
hallVisoGenderDatasetBenchmarking2023,Alignment,Bias,,Alignment - Bias,General Capability,Bias
hanInstinctiveBiasSpurious2024,Alignment,Bias,,Alignment - Bias,General Capability,Bias
wattsPARIKSHALargescaleInvestigation2024,LLM as a Judge,,Multilinguality,LLM as a Judge - ,General Application,LLM as a Judge
esiobuROBBIERobustBias2023,Alignment,Bias,,Alignment - Bias,General Capability,Bias
boisvertWorkArenaCompositionalPlanning2024,Agents,Web,,Agents - Web,General Application,Web Agents
wangGTABenchmarkGeneral2024,Agents,Tool Use,,Agents - Tool Use,General Application,Tool Use
liPrivLMbenchMultilevelPrivacy2024,,,,,Missing,Missing
bassaniGuardBenchLargescaleBenchmark2024,,,,,Missing,Missing
liuNLEBench+NorGLMComprehensiveEmpirical2024,NLP,,Multilinguality,NLP - ,General Capability,Natural Language Understanding
levySafeTextBenchmarkExploring2022,Alignment,Safety,,Alignment - Safety,General Capability,Safety
mireshghallahCanLLMsKeep2024,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
parkOpenKoLLMLeaderboard2024,NLP,,Multilinguality,NLP - ,General Capability,Natural Language Understanding
fanR2HBuildingMultimodal2023,Agents,,,Agents - General,General Capability,Core Agentic Capabilities
chiPLUELanguageUnderstanding2023,Law,,,Law - ,Specific Application,Law
aggarwalIndicXNLIEvaluatingMultilingual2022,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
sanchetiAgentspecificDeonticModality2022,Law,,,Law - ,Specific Application,Law
kotoLargeLanguageModels2023,NLP,Understanding,Multilinguality,NLP - Understanding,General Capability,Natural Language Understanding
braunAGBDECorpusAutomated2024,Law,,,Law - ,Specific Application,Law
aroraHaveLLMsAdvanced2023,Reasoning,Mathematical,,Reasoning - Mathematical,General Capability,Mathematical Reasoning
doddapaneniLeavingNoIndic2023,NLP,Understanding,Multilinguality,NLP - Understanding,General Capability,Natural Language Understanding
zhouHAZARDChallengeEmbodied2024,Agents,,,Agents - ,General Capability,Core Agentic Capabilities
yangCanLargeLanguage2024,Language Modelling,Robustness,,Language Modelling - Robustness,General Capability,Reliability
guoCanLlmsSolve2024,Biology,,,Biology - ,Specific Application,Physical Sciences
felknerWinoQueerCommunityintheloopBenchmark2023,Alignment,Bias,,Alignment - Bias,General Capability,Bias
mathaiKGymPlatformDataset2024,Agents,Coding,,Agents - Coding,General Application,Coding Agents
liFRoGEvaluatingFuzzy2024,Reasoning,Mathematical,,Reasoning - Mathematical,General Capability,Mathematical Reasoning
lalorBenchmarkingIntersectionalBiases2022,,,,,Missing,Missing
dingEasy2HardbenchStandardizedDifficulty2024,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
chalkidisFairLexMultilingualBenchmark2022,,,,,Missing,Missing
maLargeLanguageModels2024,Reasoning,Planning,,Reasoning - Planning,General Capability,Planning
liAPIbankComprehensiveBenchmark2023,Agents,Tool Use,,Agents - Tool Use,General Application,Tool Use
wenBenchmarkingComplexInstructionfollowing2024,Instruction Following,,,Instruction Following - ,General Capability,Instruction Following
zhengJudgingLLMasajudgeMTbench2023,Alignment,Alignment,User Interaction,Alignment - Alignment,General Capability,Alignment
tamkinTaskAmbiguityHumans2023,Language Modelling,Robustness,,Language Modelling - Robustness,General Capability,Reliability
heOlympiadBenchChallengingBenchmark2024,Reasoning,Mathematical,,Reasoning - Mathematical,General Capability,Mathematical Reasoning
yuALERTAdaptLanguage2023,,,,,Missing,Missing
shiLanguageModelsAre2023,Reasoning,Mathematical,Multilinguality,Reasoning - Mathematical,General Capability,Mathematical Reasoning
liHaluEvalLargescaleHallucination2023,Language Modelling,Hallucination,,Language Modelling - Hallucination,General Capability,Hallucination
mialonGAIABenchmarkGeneral2024,Agents,,,Agents - ,General Capability,Core Agentic Capabilities
sunHeadtotailHowKnowledgeable2024,Language Modelling,Hallucination,,Language Modelling - Hallucination,General Capability,Hallucination
monteiroRepLiQAQuestionansweringDataset2024,Retrieval,,,Retrieval - ,General Application,Document Retrieval
salemiLaMPWhenLarge2024,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
zhangCLAMBERBenchmarkIdentifying2024,Knowledge,Conflicts,,,General Application,Knowledge Conflicts
chenExploringPotentialLarge2024,Reasoning,,,Reasoning - ,General Capability,Natural Language Understanding
abdinKITABEvaluatingLLMs2024,Instruction Following,,,Instruction Following - ,General Capability,Instruction Following
kasnerTraditionalBenchmarksAnalyzing2024,,,,,Missing,Missing
xiaSportQABenchmarkSports2024,Sports,,,Sports - ,Specific Application,Profesisonal Domains
xiongTRIGOBenchmarkingFormal2023,Reasoning,Mathematical,,Reasoning - Mathematical,General Capability,Mathematical Reasoning
chenTheoremQATheoremdrivenQuestion2023,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
huangOlympicArenaBenchmarkingMultidiscipline2024,Reasoning,,,Reasoning - ,General Capability,Logical Reasoning
friederMathematicalCapabilitiesChatGPT2023,Reasoning,Mathematical,,Reasoning - Mathematical,General Capability,Mathematical Reasoning
aroraCausalGymBenchmarkingCausal2024,,,,,Missing,Missing
mishraNumGLUESuiteFundamental2022,Reasoning,Mathematical,,Reasoning - Mathematical,General Capability,Mathematical Reasoning
kazemiBoardgameQADatasetNatural2023,Reasoning,,,Reasoning - ,General Capability,Logical Reasoning
leiterPrExMeLargeScale2024,NLP,Summarization,,NLP - Summarization,General Application,Summarization
sahooIndiBiasBenchmarkDataset2024,Alignment,Bias,,Alignment - Bias,General Capability,Bias
marchiorimanerbaSocialBiasProbing2024,Alignment,Bias,,Alignment - Bias,General Capability,Bias
xieTravelPlannerBenchmarkRealworld2024,Reasoning,Planning,,Reasoning - Planning,General Capability,Planning
marraffiniGreatestGoodBenchmark2024,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
zhangSafetyBenchEvaluatingSafety2024,Alignment,Safety,,Alignment - Safety,General Capability,Safety
sunFevalAsssessingFundamental2024,NLP,,Multilinguality,NLP - ,General Capability,Multilinguality
laineMeMyselfAI2024,Alignment,Alignment,, ,General Capability,Alignment
basuAPIBLENDComprehensiveCorpora2024,Agents,Tool Use,,Agents - Tool Use,General Application,Tool Use
chevalierLanguageModelsScience2024,User Interaction,,General Science,User Interaction - ,General Capability,User Interaction
bhuiyaSeeminglyPlausibleDistractors2024,Reasoning,,,Reasoning - ,General Capability,Natural Language Understanding
pratoLargeLanguageModels2024,Language Modelling,Hallucination,,Language Modelling - Hallucination,General Capability,Hallucination
huangFlamesBenchmarkingValue2024,Alignment,Alignment,Multilinguality,Alignment - Alignment,General Capability,Alignment
baiMTbench101FinegrainedBenchmark2024,User Interaction,,,User Interaction - ,General Capability,User Interaction
boginSUPEREvaluatingAgents2024,Agents,,,Agents - ,General Application,Coding Agents
youLLMevolveEvaluationLLM`s2024,,,,,Missing,Missing
wangAppBenchPlanningMultiple2024,Agents,Tool Use,,Agents - Tool Use,General Application,Tool Use
chenLLMArenaAssessingCapabilities2024,Reasoning,Planning,,Reasoning - Planning,General Capability,Planning
nangiaCrowSpairsChallengeDataset2020,Alignment,Bias,,Alignment - Bias,General Capability,Bias
chenBenchmarkingRobustnessAdaptation2023,,,,,Missing,Missing
gaoEnablingLargeLanguage2023,Retrieval,,,Retrieval - ,General Application,Document Retrieval
dumpalaSUGARCREPEDatasetVisionlanguage2024,Language Modelling,Robustness,,Language Modelling - Robustness,General Capability,Reliability
tanDevBenchMultimodalDevelopmental2024,Language Modelling,,,Language Modelling - ,General Capability,Adaptability
morabitoSTOPBenchmarkingLarge2024,Alignment,Bias,,Alignment - Bias,General Capability,Bias
liangUHGEvalBenchmarkingHallucination2024,Language Modelling,Hallucination,,Language Modelling - Hallucination,General Capability,Hallucination
diaoDoolittleBenchmarksCorpora2023,NLP,,,NLP - ,Specific Application,Physical Sciences
liCanLLMAlready2023,Code Generation,,,Code Generation - ,General Application,Code Generation
bittonWinoGAViLGamifiedAssociation2022,Reasoning,Commonsense,,Reasoning - Commonsense,General Capability,Commonsense Reasoning
zhaoCould`veAskedThat2024,NLP,Understanding,,,General Capability,Natural Language Understanding
moneaGlitchMatrixLocating2024,Grounding,,,,General Capability,Grounding
halevyFlexTapeCan`t2024,Alignment,Bias,,Alignment - Bias,General Capability,Bias
labanSummEditsMeasuringLLM2023,NLP,,,NLP - ,General Capability,Factuality
xiangCAREMIChineseBenchmark2023,Medicine,,, ,Specific Application,Medicine
buchmannAttributeAbstainLarge2024,Retrieval,,,Retrieval - ,General Application,Document Retrieval
pratoEpiKevalEvaluationLanguage2023,Retrieval,,,Retrieval - ,General Application,Document Retrieval
liuAlignBenchBenchmarkingChinese2024,Alignment,Alignment,Multilinguality,Alignment - Alignment,General Capability,Alignment
ramprasadAnalyzingLLMBehavior2024,NLP,Summarization,,NLP - Summarization,General Application,Summarization
chenFELMBenchmarkingFactuality2023,Language Modelling,Hallucination,,Language Modelling - Hallucination,General Capability,Hallucination
lanCriticEvalEvaluatingLargescale2024,LLM as a Judge,,,LLM as a Judge - ,General Application,LLM as a Judge
chenCrosscareAssessingHealthcare2024,Alignment,Bias,,Alignment - Bias,General Capability,Bias
wanFactualityTaxDiversityintervened2024,Alignment,Bias,,Alignment - Bias,General Capability,Bias
zengMRbenMetareasoningBenchmark2024,Reasoning,,,Reasoning - ,General Capability,Logical Reasoning
maharanaEvaluatingVeryLongterm2024,NLP,Long Context,,NLP - Long Context,General Capability,Long Context
jhaSeeGULLStereotypeBenchmark2023,Alignment,Bias,,Alignment - Bias,General Capability,Bias
zouLargeScaleSearch2022,,,,,Missing,Missing
hendrycksAligningAIShared2020,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
panRewardsJustifyMeans2023,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
smitShouldWeBe2024,,,,,Missing,Missing
xuDPOSuperiorPPO2024,,,,,Missing,Missing
wangSciBenchEvaluatingCollegelevel2024,Reasoning,,,Reasoning - ,Specific Application,Physical Sciences
chenWeakevalstrongEvaluatingEliciting2024,Reasoning,,,Reasoning - ,General Capability,Logical Reasoning
chiyah-garciaRepairsBlockWorld2024,NLP,Understanding,,NLP - Understanding,General Capability,Natural Language Understanding
hawkinsInvestigatingRepresentationsVerb2020,,,,,Missing,Missing
zhengLMSYSchat1MLargescaleRealworld2024,General Purpose,,,,General Capability,User Interaction
yeAnaloBenchBenchmarkingIdentification2024,Reasoning,Logical,,,General Capability,Logical Reasoning
zhaoORCHIDChineseDebate2023,NLP,Summarization,,,General Application,Summarization
paruchuriWhatAreOdds2024,Reasoning,Mathematical,,,General Capability,Mathematical Reasoning
zhuFanOutQAMultihopMultidocument2024,Retrieval,,,,General Application,Document Retrieval
zhaoDocMathevalEvaluatingMath2024,Reasoning,Mathematical,,,General Capability,Mathematical Reasoning
jinCanLargeLanguage2024,Reasoning,Logical,,,General Capability,Logical Reasoning
hanFOLIONaturalLanguage2024,Reasoning,Logical,,,General Capability,Logical Reasoning
sunBenchmarkingChineseCommonsense2024,Reasoning,Commonsense,,,General Capability,Commonsense Reasoning
guLanguageModelsHave2023,Grounding,,,,General Capability,Grounding
shahStackEvalBenchmarkingLlms2024,Code Generation,Natural Language,,,General Application,Code Generation
jainR2ETurningAny2024,Agents,Coding,,,General Application,Coding Agents
kotturSIMMC20Taskoriented2021,User Interaction,,,,General Capability,User Interaction
ramamurthyReinforcementLearningNot2023,Alignment,Alignment,,,General Capability,Alignment
ouDialogBenchEvaluatingLLMs2024,User Interaction,,,,General Capability,User Interaction
liDiplomatDialogueDataset2023,User Interaction,,,,General Capability,User Interaction
tuCharacterEvalChineseBenchmark2024,User Interaction,,,,General Capability,User Interaction
abdelnabiCooperationCompetitionMaliciousness2024,Agents,,,,General Capability,Core Agentic Capabilities
wangUsercentricMultiintentBenchmark2024,General Purpose,,,,General Capability,User Interaction
XuOpenToMComprehensiveBenchmark2024,Theory of Mind,,,,General Capability,Theory of Mind
chenPremiseOrderMatters2024,Reasoning,Logical,,,General Capability,Logical Reasoning
hanReadingBooksGreat2023,Grounding,,,,General Capability,Grounding
wangMMLUproMoreRobust2024,Knowledge,General,,,General Application,General Knowledge
